A honfoglalás során a magyar törzsek a 9-10. században érkeztek a Kárpát-medencébe.;1
Az 1526-os mohácsi csatában II. Lajos király győzelmet aratott az oszmán seregek felett.;0
A nándorfehérvári diadal 1456-ban történt Hunyadi János és Kapisztrán János vezetésével.;1
A tatárjárás során IV. Béla király nem tett semmilyen intézkedést az ország újjáépítésére.;0
Az ország három részre szakadt Buda török kézre kerülése után, 1541-ben.;1
Hunyadi Mátyás uralkodása alatt Magyarországot soha nem érte külső támadás.;0
Az 1848-49-es forradalom és szabadságharc vezetője Kossuth Lajos volt.;1
1956-ban Magyarországon kommunista forradalom tört ki a szovjet megszállás támogatására.;0
1946. február 1-jén kikiáltották a Magyar Köztársaságot.;1
A magyarok soha nem szenvedtek vereséget az oszmán birodalom ellen vívott csatákban.;0
